# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun May 26 19:57:28 2024
#
# User preference: *
#
# COLUMN hostname:       Host Name
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
hostname,st_spectype,st_teff,st_rad,st_lum,sy_dist,sy_bmag,sy_vmag
K2-111,,5788.00,1.17,,200.3940000,11.7960000,11.1300000
K2-111,,5775.00,1.25,,200.3940000,11.7960000,11.1300000
K2-111,,5741.00,0.92,,200.3940000,11.7960000,11.1300000
K2-111,G2,5775.00,1.25,,200.3940000,11.7960000,11.1300000
K2-113,,5633.40,1.22,,635.7220000,14.4400000,13.7440000
K2-113,,5660.00,1.24,,635.7220000,14.4400000,13.7440000
K2-113,,5633.39,1.22,0.130,635.7220000,14.4400000,13.7440000
K2-113,,,1.33,,635.7220000,14.4400000,13.7440000
K2-113,,5409.67,1.29,0.107,635.7220000,14.4400000,13.7440000
K2-113,G,5627.00,1.05,0.009,635.7220000,14.4400000,13.7440000
K2-113,,,1.29,,635.7220000,14.4400000,13.7440000
K2-114,,,0.90,,475.7580000,15.6260000,14.5500000
K2-114,,4907.00,0.85,-0.419,475.7580000,15.6260000,14.5500000
K2-114,,4920.00,0.82,-0.445,475.7580000,15.6260000,14.5500000
K2-114,,,,,475.7580000,15.6260000,14.5500000
K2-114,,,,,475.7580000,15.6260000,14.5500000
K2-114,,5027.00,0.88,,475.7580000,15.6260000,14.5500000
K2-114,,5027.00,0.83,,475.7580000,15.6260000,14.5500000
K2-114,,4913.00,0.88,-0.395,475.7580000,15.6260000,14.5500000
K2-114,,,0.85,,475.7580000,15.6260000,14.5500000
K2-114,,5044.00,0.84,,475.7580000,15.6260000,14.5500000
K2-114,,5039.00,0.87,,475.7580000,15.6260000,14.5500000
K2-115,,5742.00,0.86,-0.145,413.5910000,14.0080000,13.4440000
K2-115,,,0.86,,413.5910000,14.0080000,13.4440000
K2-115,,,,,413.5910000,14.0080000,13.4440000
K2-115,,5657.00,0.88,,413.5910000,14.0080000,13.4440000
K2-115,,5761.33,0.83,-0.164,413.5910000,14.0080000,13.4440000
K2-115,,,0.83,,413.5910000,14.0080000,13.4440000
K2-115,G4,,,,413.5910000,14.0080000,13.4440000
K2-115,,5560.00,0.88,,413.5910000,14.0080000,13.4440000
K2-115,,5742.00,0.86,,413.5910000,14.0080000,13.4440000
K2-115,,,,,413.5910000,14.0080000,13.4440000
K2-116,,4547.00,0.69,,49.3855000,11.9820000,10.8000000
K2-116,,4264.00,0.66,,49.3855000,11.9820000,10.8000000
K2-116,,4412.00,0.72,-0.746,49.3855000,11.9820000,10.8000000
K2-116,,4342.00,0.76,-0.734,49.3855000,11.9820000,10.8000000
K2-116,,4348.35,0.67,,49.3855000,11.9820000,10.8000000
K2-117,,3842.12,0.49,,101.6320000,16.1290000,14.6390000
K2-117,,3844.26,,,101.6320000,16.1290000,14.6390000
K2-117,,3689.00,0.51,,101.6320000,16.1290000,14.6390000
K2-117,,,,,101.6320000,16.1290000,14.6390000
K2-117,,,,,101.6320000,16.1290000,14.6390000
K2-117,,,0.40,,101.6320000,16.1290000,14.6390000
K2-117,,3689.00,0.51,-1.354,101.6320000,16.1290000,14.6390000
K2-117,,,0.52,,101.6320000,16.1290000,14.6390000
K2-117,,,0.40,,101.6320000,16.1290000,14.6390000
K2-117,,,0.52,,101.6320000,16.1290000,14.6390000
K2-117,M1.0 V,3676.00,0.51,-1.357,101.6320000,16.1290000,14.6390000
K2-117,,3778.00,0.51,,101.6320000,16.1290000,14.6390000
K2-118,,4799.26,0.79,-0.526,321.7220000,15.0320000,14.0000000
K2-118,,,0.70,,321.7220000,15.0320000,14.0000000
K2-118,,4726.29,0.73,,321.7220000,15.0320000,14.0000000
K2-118,,4990.13,0.70,-0.561,321.7220000,15.0320000,14.0000000
K2-119,,4525.00,0.74,-0.685,365.5810000,15.9740000,14.8180000
K2-119,,4740.00,0.71,,365.5810000,15.9740000,14.8180000
K2-119,,4901.33,0.59,-0.744,365.5810000,15.9740000,14.8180000
K2-119,,,,,365.5810000,15.9740000,14.8180000
K2-119,,4752.80,0.68,,365.5810000,15.9740000,14.8180000
K2-119,,,0.59,,365.5810000,15.9740000,14.8180000
K2-119,,,0.71,,365.5810000,15.9740000,14.8180000
K2-119,,,,,365.5810000,15.9740000,14.8180000
K2-12,,6177.00,1.31,,326.3810000,12.9600000,12.3800000
K2-12,,5663.00,1.01,,326.3810000,12.9600000,12.3800000
K2-12,F9,,,,326.3810000,12.9600000,12.3800000
K2-12,,5672.00,1.12,,326.3810000,12.9600000,12.3800000
K2-12,,,1.08,,326.3810000,12.9600000,12.3800000
K2-12,,5680.00,1.19,0.123,326.3810000,12.9600000,12.3800000
K2-12,,5779.00,1.08,0.072,326.3810000,12.9600000,12.3800000
K2-12,,5800.00,1.01,,326.3810000,12.9600000,12.3800000
K2-12,,5615.00,0.92,,326.3810000,12.9600000,12.3800000
K2-120,,4432.16,,,,15.1540000,14.0920000
K2-120,,4349.90,0.67,,,15.1540000,14.0920000
K2-120,,4472.00,0.78,-0.664,,15.1540000,14.0920000
K2-120,,,0.60,,,15.1540000,14.0920000
K2-120,,,,,,15.1540000,14.0920000
K2-121,,,0.64,,169.3980000,14.3600000,13.2290000
K2-121,,,,,169.3980000,14.3600000,13.2290000
K2-121,,,0.71,,169.3980000,14.3600000,13.2290000
K2-121,,4690.00,0.67,,169.3980000,14.3600000,13.2290000
K2-121,,4680.44,0.64,-0.756,169.3980000,14.3600000,13.2290000
K2-121,,4551.00,0.68,,169.3980000,14.3600000,13.2290000
K2-121,,,,,169.3980000,14.3600000,13.2290000
K2-121,,4664.80,0.65,-0.745,169.3980000,14.3600000,13.2290000
K2-121,,4695.00,0.69,,169.3980000,14.3600000,13.2290000
K2-121,,4471.38,0.77,,169.3980000,14.3600000,13.2290000
K2-121,,4664.80,0.65,,169.3980000,14.3600000,13.2290000
K2-122,,,,,72.0444000,14.5880000,13.1050000
K2-122,,,0.53,,72.0444000,14.5880000,13.1050000
K2-122,,3807.00,0.61,-1.147,72.0444000,14.5880000,13.1050000
K2-122,,,,,72.0444000,14.5880000,13.1050000
K2-122,,3993.36,0.59,,72.0444000,14.5880000,13.1050000
K2-122 B,,3291.00,0.34,-1.910,73.3639000,17.8470000,16.2700000
K2-122,,4009.00,0.59,,72.0444000,14.5880000,13.1050000
K2-122,M0,,,,72.0444000,14.5880000,13.1050000
K2-122,,3903.00,0.61,-1.102,72.0444000,14.5880000,13.1050000
K2-122,,4027.00,0.60,,72.0444000,14.5880000,13.1050000
K2-122,,4068.96,0.53,-1.156,72.0444000,14.5880000,13.1050000
K2-122,,,0.63,,72.0444000,14.5880000,13.1050000
K2-123,,4035.00,0.59,,161.5550000,16.2920000,14.7810000
K2-123,,3872.37,0.64,-1.085,161.5550000,16.2920000,14.7810000
K2-123,,4040.00,0.60,,161.5550000,16.2920000,14.7810000
K2-123,,3880.00,0.59,-1.143,161.5550000,16.2920000,14.7810000
K2-123,,,,,161.5550000,16.2920000,14.7810000
K2-123,,,,,161.5550000,16.2920000,14.7810000
K2-123,,3856.00,0.61,-1.131,161.5550000,16.2920000,14.7810000
K2-123,,4075.67,0.57,,161.5550000,16.2920000,14.7810000
K2-123,,,0.64,,161.5550000,16.2920000,14.7810000
K2-123,,,0.64,,161.5550000,16.2920000,14.7810000
K2-124,,3560.70,0.34,,140.3850000,18.4270000,16.6920000
K2-124,,3358.00,,,140.3850000,18.4270000,16.6920000
K2-124,,,,,140.3850000,18.4270000,16.6920000
K2-124,,3560.00,0.41,,140.3850000,18.4270000,16.6920000
K2-124,,,0.30,,140.3850000,18.4270000,16.6920000
K2-124,,3570.00,0.39,,140.3850000,18.4270000,16.6920000
K2-124,,3620.00,0.39,,140.3850000,18.4270000,16.6920000
K2-124,,,0.35,,140.3850000,18.4270000,16.6920000
K2-124,,3471.00,0.41,-1.659,140.3850000,18.4270000,16.6920000
K2-125,,3565.00,0.40,-1.641,124.1560000,17.5530000,16.4000000
K2-125,,3654.47,0.40,,124.1560000,17.5530000,16.4000000
K2-125,,3601.94,,,124.1560000,17.5530000,16.4000000
K2-126,,4259.00,0.67,-0.878,102.9530000,14.1540000,12.7590000
K2-126,,4396.00,0.59,,102.9530000,14.1540000,12.7590000
K2-126,,,,,102.9530000,14.1540000,12.7590000
K2-126,,4309.70,0.63,-0.916,102.9530000,14.1540000,12.7590000
K2-126,,,0.62,,102.9530000,14.1540000,12.7590000
K2-126,,,,,102.9530000,14.1540000,12.7590000
K2-126,,,0.66,,102.9530000,14.1540000,12.7590000
K2-126,,4367.83,0.62,,102.9530000,14.1540000,12.7590000
K2-126,,4339.00,0.65,,102.9530000,14.1540000,12.7590000
K2-127,,,0.98,,709.9990000,16.0050000,15.0410000
K2-127,,4966.00,0.98,-0.277,709.9990000,16.0050000,15.0410000
K2-127,,4575.00,0.66,,709.9990000,16.0050000,15.0410000
K2-127,,,,,709.9990000,16.0050000,15.0410000
K2-127,,,0.75,,709.9990000,16.0050000,15.0410000
K2-127,,5036.00,0.98,-0.254,709.9990000,16.0050000,15.0410000
K2-127,,4387.84,0.68,,709.9990000,16.0050000,15.0410000
K2-128,,4730.77,0.58,-0.822,114.6370000,13.7490000,12.5800000
K2-128,,4469.51,0.78,,114.6370000,13.7490000,12.5800000
K2-128,,,0.58,,114.6370000,13.7490000,12.5800000
K2-128,,4621.00,0.65,,114.6370000,13.7490000,12.5800000
K2-128,,4470.00,0.69,-0.766,114.6370000,13.7490000,12.5800000
K2-129,,3880.64,,,27.7957000,15.1820000,13.6390000
K2-129,,,0.21,,27.7957000,15.1820000,13.6390000
K2-129,,3377.00,0.36,-1.828,27.7957000,15.1820000,13.6390000
K2-129,,3459.09,0.36,,27.7957000,15.1820000,13.6390000
K2-13,,5508.00,0.88,,342.3940000,13.6150000,12.8820000
K2-13,G3,,,,342.3940000,13.6150000,12.8820000
K2-13,,5698.00,0.78,,342.3940000,13.6150000,12.8820000
K2-13,,5727.00,1.09,,342.3940000,13.6150000,12.8820000
K2-13,,5634.00,0.94,-0.100,342.3940000,13.6150000,12.8820000
K2-13,,5474.00,0.95,-0.135,342.3940000,13.6150000,12.8820000
K2-130,,4387.00,0.71,-0.776,118.0110000,13.9400000,12.6760000
K2-130,,4356.47,0.74,,118.0110000,13.9400000,12.6760000
K2-130,,4476.79,0.66,-0.799,118.0110000,13.9400000,12.6760000
K2-130,,4528.00,0.64,,118.0110000,13.9400000,12.6760000
K2-130,,,0.66,,118.0110000,13.9400000,12.6760000
K2-131,,5200.00,0.74,,152.5090000,13.0540000,12.1290000
K2-131,,5200.00,0.81,,152.5090000,13.0540000,12.1290000
K2-131,,5120.00,0.76,,152.5090000,13.0540000,12.1290000
K2-131,,5129.00,0.76,,152.5090000,13.0540000,12.1290000
K2-131,,5113.00,0.77,,152.5090000,13.0540000,12.1290000
K2-131,,5200.00,0.81,,152.5090000,13.0540000,12.1290000
K2-131,,5245.00,0.75,,152.5090000,13.0540000,12.1290000
K2-131,,5048.25,0.75,-0.479,152.5090000,13.0540000,12.1290000
K2-131,,5129.00,0.76,-0.448,152.5090000,13.0540000,12.1290000
K2-132,,,3.85,,609.8180000,12.9340000,12.0710000
K2-132,,4840.00,3.85,,609.8180000,12.9340000,12.0710000
K2-132,,4933.00,3.79,,609.8180000,12.9340000,12.0710000
K2-132,,4933.00,3.79,,609.8180000,12.9340000,12.0710000
K2-132,,4869.66,3.77,0.858,609.8180000,12.9340000,12.0710000
K2-132,,5035.00,2.16,,609.8180000,12.9340000,12.0710000
K2-132,,4878.00,4.11,0.943,609.8180000,12.9340000,12.0710000
K2-133,M1 V,3655.00,0.47,-1.444,75.1703000,15.3940000,14.0730000
K2-133,M1.5 V,3655.00,0.46,-1.479,75.1703000,15.3940000,14.0730000
K2-133,,3798.00,0.46,,75.1703000,15.3940000,14.0730000
K2-133,,3798.00,0.46,-1.402,75.1703000,15.3940000,14.0730000
K2-133,,3761.00,,,75.1703000,15.3940000,14.0730000
K2-136,K5 V,4364.00,0.71,-0.785,59.2474000,12.4790000,11.1010000
K2-136,,4230.60,0.77,,59.2474000,12.4790000,11.1010000
K2-136 B,M7/8 V,,0.10,,,,
K2-136,,4359.00,0.72,-0.767,59.2474000,12.4790000,11.1010000
K2-136,,4230.58,0.77,-0.762,59.2474000,12.4790000,11.1010000
K2-136,K5.5,4499.00,0.66,-0.788,59.2474000,12.4790000,11.1010000
K2-136,,4500.00,0.68,-0.777,59.2474000,12.4790000,11.1010000
K2-136,,4334.00,0.72,-0.783,59.2474000,12.4790000,11.1010000
K2-137,M3 V,3492.00,0.44,,98.8765000,17.0070000,15.9400000
K2-137,,3359.00,0.53,-1.484,98.8765000,17.0070000,15.9400000
K2-137,,3697.00,0.29,,98.8765000,17.0070000,15.9400000
K2-137,,3450.00,0.46,-1.571,98.8765000,17.0070000,15.9400000
K2-138,,5110.20,0.92,-0.287,202.5850000,13.0630000,12.2460000
K2-138,K1 V,5378.00,0.86,,202.5850000,13.0630000,12.2460000
K2-138,,5281.00,0.86,-0.288,202.5850000,13.0630000,12.2460000
K2-138,G8 V,5283.00,0.84,,202.5850000,13.0630000,12.2460000
K2-138,,5281.00,0.86,,202.5850000,13.0630000,12.2460000
K2-138,,5356.30,0.86,,202.5850000,13.0630000,12.2460000
K2-139,,5370.00,0.88,,153.8560000,12.4340000,11.6520000
K2-139,,,0.91,,153.8560000,12.4340000,11.6520000
K2-139,K0 V,5340.00,0.86,,153.8560000,12.4340000,11.6520000
K2-139,,5195.00,0.89,-0.280,153.8560000,12.4340000,11.6520000
K2-139,,5083.65,0.91,-0.299,153.8560000,12.4340000,11.6520000
K2-139,,,0.93,,153.8560000,12.4340000,11.6520000
K2-139,,5425.00,0.87,,153.8560000,12.4340000,11.6520000
K2-14,,3970.42,0.62,,364.0480000,17.7830000,15.7800000
K2-14,,3879.00,0.56,,364.0480000,17.7830000,15.7800000
K2-14,,3789.00,0.45,,364.0480000,17.7830000,15.7800000
K2-14,,3960.00,0.65,-1.031,364.0480000,17.7830000,15.7800000
K2-14,,3929.00,0.71,-0.968,364.0480000,17.7830000,15.7800000
K2-14,,3866.00,0.39,,364.0480000,17.7830000,15.7800000
K2-14,,,0.71,,364.0480000,17.7830000,15.7800000
K2-14,M0,,,,364.0480000,17.7830000,15.7800000
K2-140,,5705.00,0.99,,347.9170000,13.3490000,12.7270000
K2-140,,5712.00,1.02,-0.003,347.9170000,13.3490000,12.7270000
K2-140,,5485.00,1.08,-0.019,347.9170000,13.3490000,12.7270000
K2-140,G5,5654.00,0.99,-0.049,347.9170000,13.3490000,12.7270000
K2-140,,5637.00,1.05,,347.9170000,13.3490000,12.7270000
K2-140,G6 V,5585.00,1.06,,347.9170000,13.3490000,12.7270000
K2-141,,4477.00,0.72,-0.721,61.8736000,12.1390000,11.4540000
K2-141,,4599.00,0.68,-0.750,61.8736000,12.1390000,11.4540000
K2-141,,4477.00,0.72,,61.8736000,12.1390000,11.4540000
K2-141,K7 V,4373.00,0.67,,61.8736000,12.1390000,11.4540000
K2-141,,4599.00,0.69,,61.8736000,12.1390000,11.4540000
K2-141,,4570.00,0.68,,61.8736000,12.1390000,11.4540000
K2-141,,4623.05,0.66,-0.744,61.8736000,12.1390000,11.4540000
K2-146,,3679.00,,,79.3002000,17.8730000,16.7000000
K2-146,,,0.23,,79.3002000,17.8730000,16.7000000
K2-146,,,0.23,,79.3002000,17.8730000,16.7000000
K2-146,M3.0 V,3385.00,0.35,-1.824,79.3002000,17.8730000,16.7000000
K2-146,,3398.00,0.33,,79.3002000,17.8730000,16.7000000
K2-146,M3.0 V,3385.00,0.35,-1.824,79.3002000,17.8730000,16.7000000
K2-146,,3359.00,0.33,-1.915,79.3002000,17.8730000,16.7000000
K2-146,,,0.50,,79.3002000,17.8730000,16.7000000
K2-146,,,,,79.3002000,17.8730000,16.7000000
K2-146,,3385.00,0.33,,79.3002000,17.8730000,16.7000000
K2-146,,,,,79.3002000,17.8730000,16.7000000
K2-147,,,0.31,,90.5494000,15.4830000,14.0440000
K2-147,,3775.00,0.31,,90.5494000,15.4830000,14.0440000
K2-147,,4126.86,,,90.5494000,15.4830000,14.0440000
K2-147,,3672.00,0.55,-1.292,90.5494000,15.4830000,14.0440000
K2-147,,3693.00,0.57,-1.259,90.5494000,15.4830000,14.0440000
K2-148,,4081.00,0.67,-0.945,124.4580000,14.9040000,13.6270000
K2-148,,4312.91,0.56,-1.014,124.4580000,14.9040000,13.6270000
EPIC 220194953,,3854.00,0.59,-1.167,124.0720000,,14.5070000
K2-148,,,0.37,,124.4580000,14.9040000,13.6270000
K2-148,,4079.00,0.63,-0.996,124.4580000,14.9040000,13.6270000
K2-149,M1.0 V,3745.00,0.57,-1.310,123.6760000,16.0550000,14.5430000
K2-149,,3717.00,0.59,-1.218,123.6760000,16.0550000,14.5430000
K2-149,,3836.66,0.58,-1.183,123.6760000,16.0550000,14.5430000
K2-15,,5314.00,0.78,,493.9920000,15.4900000,14.7580000
K2-15,,4927.00,0.85,-0.421,493.9920000,15.4900000,14.7580000
K2-15,,4992.00,0.76,,493.9920000,15.4900000,14.7580000
K2-15,,4982.21,0.80,-0.453,493.9920000,15.4900000,14.7580000
K2-15,G8,,,,493.9920000,15.4900000,14.7580000
K2-15,,,0.80,,493.9920000,15.4900000,14.7580000
K2-15,,5131.00,0.68,,493.9920000,15.4900000,14.7580000
K2-150,,3440.00,0.42,-1.662,102.4830000,17.3530000,15.7840000
K2-150,M2.5 V,3499.00,0.44,-1.585,102.4830000,17.3530000,15.7840000
K2-150,,,0.36,,102.4830000,17.3530000,15.7840000
K2-150,,3565.67,,,102.4830000,17.3530000,15.7840000
K2-151,,3695.00,0.45,,69.4798000,15.6390000,14.1750000
K2-151,,,0.45,,69.4798000,15.6390000,14.1750000
K2-151,,,0.32,,69.4798000,15.6390000,14.1750000
K2-151 A,,4490.00,0.68,-0.774,68.1233000,12.5530000,11.4600000
K2-151,,3624.00,,,69.4798000,15.6390000,14.1750000
K2-151,,3659.00,0.46,-1.470,69.4798000,15.6390000,14.1750000
K2-151,M1.5 V,3585.00,0.43,-1.553,69.4798000,15.6390000,14.1750000
K2-152,,4137.84,0.56,-1.085,108.4490000,15.0980000,13.7280000
K2-152,,3923.00,0.63,-1.077,108.4490000,15.0980000,13.7280000
K2-152,M0.0 V,3940.00,0.63,-1.060,108.4490000,15.0980000,13.7280000
K2-152,,4044.00,0.61,,108.4490000,15.0980000,13.7280000
K2-153,,3800.00,0.54,-1.268,143.1250000,16.4370000,14.9600000
K2-153,M3.0 V,3720.00,0.49,-1.367,143.1250000,16.4370000,14.9600000
K2-153,,3845.00,0.53,,143.1250000,16.4370000,14.9600000
K2-153,,4094.43,,,143.1250000,16.4370000,14.9600000
K2-154,,4125.30,0.59,-1.039,129.3560000,15.4350000,13.8610000
K2-154,,3929.00,0.65,-1.046,129.3560000,15.4350000,13.8610000
K2-154,M0.0 V,3978.00,0.65,-1.018,129.3560000,15.4350000,13.8610000
K2-154,,4097.00,0.63,,129.3560000,15.4350000,13.8610000
K2-155,,4258.00,0.58,,72.7998000,14.0730000,12.7730000
K2-155,K7,,,,72.7998000,14.0730000,12.7730000
K2-155,,3893.47,0.66,-1.050,72.7998000,14.0730000,12.7730000
K2-155,,3893.47,0.66,,72.7998000,14.0730000,12.7730000
K2-155,,3919.00,0.53,-1.229,72.7998000,14.0730000,12.7730000
K2-155,,4247.55,,,72.7998000,14.0730000,12.7730000
K2-156,,4460.00,0.62,,150.2100000,14.6370000,13.4000000
K2-156,,4597.00,0.66,,150.2100000,14.6370000,13.4000000
K2-156,,4331.00,0.71,-0.798,150.2100000,14.6370000,13.4000000
K2-156,,4477.88,0.63,-0.838,150.2100000,14.6370000,13.4000000
K2-156,,4460.00,0.62,,150.2100000,14.6370000,13.4000000
K2-157,,5456.00,0.88,,298.3730000,13.6090000,12.9420000
K2-157,,5377.00,0.92,-0.195,298.3730000,13.6090000,12.9420000
K2-157,,5456.00,0.88,,298.3730000,13.6090000,12.9420000
K2-157,,5337.00,0.92,-0.210,298.3730000,13.6090000,12.9420000
K2-158,,5489.00,0.89,,197.2990000,12.3370000,11.7740000
K2-158,,5382.00,0.95,-0.163,197.2990000,12.3370000,11.7740000
K2-158,,5423.00,0.95,-0.157,197.2990000,12.3370000,11.7740000
K2-158,,5503.00,0.95,,197.2990000,12.3370000,11.7740000
K2-159,,5338.75,0.83,-0.296,170.9980000,12.5710000,11.9950000
K2-159,,5425.00,0.83,,170.9980000,12.5710000,11.9950000
K2-159,,5419.00,0.83,,170.9980000,12.5710000,11.9950000
K2-159,,5505.60,0.79,-0.289,170.9980000,12.5710000,11.9950000
K2-16,,,0.54,,334.9670000,15.6620000,14.6680000
K2-16,,4761.00,0.64,,334.9670000,15.6620000,14.6680000
K2-16,,4620.00,0.71,,334.9670000,15.6620000,14.6680000
K2-16,,5051.67,0.54,-0.761,334.9670000,15.6620000,14.6680000
K2-16,K3 V,4742.00,0.66,,334.9670000,15.6620000,14.6680000
K2-16,,4800.00,0.67,,334.9670000,15.6620000,14.6680000
K2-16,,,,,334.9670000,15.6620000,14.6680000
K2-16,,4627.07,0.70,-0.690,334.9670000,15.6620000,14.6680000
K2-160,,5649.00,0.91,,315.3630000,13.3030000,12.8380000
K2-160,,5665.00,0.90,-0.121,315.3630000,13.3030000,12.8380000
K2-160,,5681.34,0.88,-0.137,315.3630000,13.3030000,12.8380000
K2-161,,4972.00,2.57,,916.3190000,13.5820000,12.7180000
K2-161,,4999.75,3.84,0.919,916.3190000,13.5820000,12.7180000
K2-161,,4854.99,4.23,,916.3190000,13.5820000,12.7180000
K2-162,,4798.16,0.68,-0.657,124.4330000,13.3100000,12.2780000
K2-162,,4885.00,0.73,,124.4330000,13.3100000,12.2780000
K2-162,,4545.32,0.80,-0.610,124.4330000,13.3100000,12.2780000
K2-162,,4842.00,0.69,,124.4330000,13.3100000,12.2780000
K2-163,,4815.50,0.78,-0.529,208.5290000,14.1280000,13.0780000
K2-163,,4786.48,0.78,-0.541,208.5290000,14.1280000,13.0780000
K2-163,,4937.00,0.76,,208.5290000,14.1280000,13.0780000
K2-164,,,1.27,,375.6700000,11.7690000,11.3520000
K2-164,,5791.00,2.20,,375.6700000,11.7690000,11.3520000
K2-164,,5959.40,1.89,0.609,375.6700000,11.7690000,11.3520000
K2-164,,5894.00,1.06,,375.6700000,11.7690000,11.3520000
K2-164,,5899.33,1.89,0.590,375.6700000,11.7690000,11.3520000
K2-165,,5141.67,0.84,-0.355,134.5910000,12.4510000,11.3320000
K2-165,,5183.40,0.81,-0.370,134.5910000,12.4510000,11.3320000
K2-165,,5185.00,0.80,,134.5910000,12.4510000,11.3320000
K2-165,,5141.67,0.84,,134.5910000,12.4510000,11.3320000
K2-166,,5960.00,1.61,,476.8820000,12.6400000,12.0810000
K2-166,,5942.50,1.60,0.458,476.8820000,12.6400000,12.0810000
K2-166,,,,,476.8820000,12.6400000,12.0810000
K2-166,,5922.00,1.20,,476.8820000,12.6400000,12.0810000
K2-166,,6046.57,1.55,0.462,476.8820000,12.6400000,12.0810000
K2-167,F7 V,,,,80.8994000,8.7700010,8.2400000
K2-167,,5908.00,1.83,,80.8994000,8.7700010,8.2400000
K2-167,,6073.50,1.47,,80.8994000,8.7700010,8.2400000
K2-167,,6141.00,1.46,0.436,80.8994000,8.7700010,8.2400000
K2-167,,6073.50,1.50,0.442,80.8994000,8.7700010,8.2400000
K2-167,,6129.00,1.47,0.440,80.8994000,8.7700010,8.2400000
K2-167,G0,,,,80.8994000,8.7700010,8.2400000
K2-167,,6063.00,1.18,,80.8994000,8.7700010,8.2400000
K2-167,,5908.00,1.50,,80.8994000,8.7700010,8.2400000
K2-167,,6011.00,1.49,,80.8994000,8.7700010,8.2400000
K2-168,,,0.90,,243.9350000,12.9730000,12.3650000
K2-168,,,,,243.9350000,12.9730000,12.3650000
K2-168,,5286.50,1.00,-0.150,243.9350000,12.9730000,12.3650000
K2-168,,5495.00,0.88,,243.9350000,12.9730000,12.3650000
K2-168,,5484.00,0.90,-0.176,243.9350000,12.9730000,12.3650000
K2-168,,,0.90,,243.9350000,12.9730000,12.3650000
K2-168,,5554.00,0.87,,243.9350000,12.9730000,12.3650000
K2-168,,5502.70,0.83,,243.9350000,12.9730000,12.3650000
K2-169,,5548.00,0.92,,235.8670000,12.9570000,12.2300000
K2-169,,5401.00,0.96,-0.151,235.8670000,12.9570000,12.2300000
K2-169,,5314.00,0.98,-0.161,235.8670000,12.9570000,12.2300000
K2-169,,5347.00,0.83,,235.8670000,12.9570000,12.2300000
K2-169,,,0.98,,235.8670000,12.9570000,12.2300000
K2-17,,,0.56,,125.1060000,14.8110000,13.4110000
K2-17,,4118.41,0.63,,125.1060000,14.8110000,13.4110000
K2-17,,4035.85,0.72,-0.910,125.1060000,14.8110000,13.4110000
K2-17,K7,,,,125.1060000,14.8110000,13.4110000
K2-17,,4102.00,0.48,,125.1060000,14.8110000,13.4110000
K2-17,,4382.00,0.60,,125.1060000,14.8110000,13.4110000
K2-17,,4320.00,0.66,,125.1060000,14.8110000,13.4110000
K2-17,,4360.00,0.56,-0.997,125.1060000,14.8110000,13.4110000
K2-17,,4151.00,0.63,,125.1060000,14.8110000,13.4110000
K2-170,,5886.00,1.06,0.084,392.8720000,13.2670000,12.6680000
K2-170,,,1.08,,392.8720000,13.2670000,12.6680000
K2-170,,5775.00,1.08,0.072,392.8720000,13.2670000,12.6680000
K2-170,,5749.00,0.98,,392.8720000,13.2670000,12.6680000
K2-170,,5748.00,0.98,,392.8720000,13.2670000,12.6680000
K2-171,,5250.00,1.72,,606.1280000,13.5360000,12.7450000
K2-171,,5153.00,2.31,,606.1280000,13.5360000,12.7450000
K2-171,,,2.38,,606.1280000,13.5360000,12.7450000
K2-171,,5037.00,2.38,0.516,606.1280000,13.5360000,12.7450000
K2-171,,5032.00,0.77,,606.1280000,13.5360000,12.7450000
K2-172,,,,,249.7420000,13.1910000,12.5000000
K2-172,,5569.00,0.87,,249.7420000,13.1910000,12.5000000
K2-172,,5547.00,0.86,-0.202,249.7420000,13.1910000,12.5000000
K2-172,,5449.00,0.86,,249.7420000,13.1910000,12.5000000
K2-172,,,0.82,,249.7420000,13.1910000,12.5000000
K2-172,,5564.00,0.82,-0.232,249.7420000,13.1910000,12.5000000
K2-172,,,0.82,,249.7420000,13.1910000,12.5000000
K2-173,,,,,228.6410000,13.2620000,12.5230000
K2-173,,4856.02,1.10,-0.220,228.6410000,13.2620000,12.5230000
K2-173,,5573.35,1.00,-0.060,228.6410000,13.2620000,12.5230000
K2-173,,5580.00,0.84,,228.6410000,13.2620000,12.5230000
K2-174,,4246.80,0.76,,99.9293000,13.6570000,12.4560000
K2-174,,4455.00,0.68,,99.9293000,13.6570000,12.4560000
K2-174,,,,,99.9293000,13.6570000,12.4560000
K2-174,,4246.81,0.76,-0.773,99.9293000,13.6570000,12.4560000
K2-174,,4581.00,0.67,,99.9293000,13.6570000,12.4560000
K2-174,,,0.67,,99.9293000,13.6570000,12.4560000
K2-174,,,,,99.9293000,13.6570000,12.4560000
K2-174,,4500.00,0.64,,99.9293000,13.6570000,12.4560000
K2-174,,4430.37,0.67,-0.808,99.9293000,13.6570000,12.4560000
K2-175,,5617.02,1.71,0.419,247.2660000,11.5050000,10.8360000
K2-175,,5929.25,1.67,0.494,247.2660000,11.5050000,10.8360000
