# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Jun 17 22:12:28 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag > 0
# CONSTRAINT:  and disc_facility like '%Kepler%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN pl_massjerr1:   Planet Mass [Jupiter Mass] Upper Unc.
# COLUMN pl_massjerr2:   Planet Mass [Jupiter Mass] Lower Unc.
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratdorerr1:  Ratio of Semi-Major Axis to Stellar Radius Upper Unc.
# COLUMN pl_ratdorerr2:  Ratio of Semi-Major Axis to Stellar Radius Lower Unc.
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN pl_ratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN pl_ratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_denserr1:    Stellar Density Upper Unc. [g/cm**3]
# COLUMN st_denserr2:    Stellar Density Lower Unc. [g/cm**3]
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_vsinerr1:    Stellar Rotational Velocity [km/s] Upper Unc.
# COLUMN st_vsinerr2:    Stellar Rotational Velocity [km/s] Lower Unc.
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_rotperr1:    Stellar Rotational Period [days] Upper Unc.
# COLUMN st_rotperr2:    Stellar Rotational Period [days] Lower Unc.
# COLUMN st_radv:        Systemic Radial Velocity [km/s]
# COLUMN st_radverr1:    Systemic Radial Velocity Upper Unc. [km/s]
# COLUMN st_radverr2:    Systemic Radial Velocity Lower Unc. [km/s]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_bmagerr1:    B (Johnson) Magnitude Upper Unc
# COLUMN sy_bmagerr2:    B (Johnson) Magnitude Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_dens,pl_denserr1,pl_denserr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_insol,pl_insolerr1,pl_insolerr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,st_met,st_meterr1,st_meterr2,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_logg,st_loggerr1,st_loggerr2,st_age,st_ageerr1,st_ageerr2,st_dens,st_denserr1,st_denserr2,st_vsin,st_vsinerr1,st_vsinerr2,st_rotp,st_rotperr1,st_rotperr2,st_radv,st_radverr1,st_radverr2,sy_dist,sy_disterr1,sy_disterr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2
Kepler-1868 b,Kepler-1868,1,1,1,Transit,2021,Kepler,211.03399660,,,,,,3.150,,,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,4658.00,93.00,-93.00,0.69,0.04,-0.03,0.74,0.03,-0.04,0.000,0.150,-0.150,[Fe/H],,,,4.63,0.01,-0.04,,,,1.4458,4.0764,-0.4332,,,,,,,,,,274.1800000,0.9505000,-0.9505000,15.3170000,0.0340000,-0.0340000,14.1570000,0.0920000,-0.0920000
Kepler-1869 b,Kepler-1869,1,1,2,Transit,2021,Kepler,8.16736031,,,,,,1.120,,,0.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,5808.00,105.00,-128.00,0.90,0.14,-0.05,0.99,0.05,-0.08,-0.060,0.150,-0.150,[Fe/H],,,,4.52,0.03,-0.12,,,,0.4376,1.5527,-0.3578,,,,,,,,,,113.0250000,0.2910000,-0.2910000,10.9570000,0.0780000,-0.0780000,10.3100000,0.0050000,-0.0050000
Kepler-1869 c,Kepler-1869,1,1,2,Transit,2023,Kepler,1.71682830,0.00000941,-0.00000941,0.028000,,,0.740,0.120,-0.030,,,,,,,,,,,,,0.000000,,,1056.84,452.51,-186.21,1455,,,4.670000,2.100000,-2.100000,0.00755,0.00195,-0.00051,,5808.00,105.00,-128.00,0.90,0.14,-0.05,0.99,0.05,-0.08,-0.060,0.150,-0.150,[Fe/H],,,,4.52,0.03,-0.12,,,,0.6530,1.1756,-0.6135,,,,,,,,,,113.0250000,0.2910000,-0.2910000,10.9570000,0.0780000,-0.0780000,10.3100000,0.0050000,-0.0050000
Kepler-187 b,Kepler-187,1,1,2,Transit,2014,Kepler,4.93886400,0.00005800,-0.00005800,0.059000,,,1.410,0.280,-0.280,0.126,0.025,-0.025,,,,,,,,,,,,,,,,,,,,,,,,,,6105.00,129.00,-129.00,1.29,0.25,-0.25,,,,,,,,,,,4.27,0.15,-0.15,,,,,,,,,,,,,,,,1143.0000000,33.3100000,-31.5100000,15.0010000,0.0780000,-0.0780000,14.2970000,0.0800000,-0.0800000
Kepler-187 c,Kepler-187,1,1,2,Transit,2014,Kepler,10.64026300,0.00004800,-0.00004800,0.099000,,,2.670,0.520,-0.520,0.238,0.046,-0.046,,,,,,,,,,,,,,,,,,,,,,,,,,6105.00,129.00,-129.00,1.29,0.25,-0.25,,,,,,,,,,,4.27,0.15,-0.15,,,,,,,,,,,,,,,,1143.0000000,33.3100000,-31.5100000,15.0010000,0.0780000,-0.0780000,14.2970000,0.0800000,-0.0800000
Kepler-1870 b,Kepler-1870,1,1,1,Transit,2021,Kepler,3.60694003,,,,,,2.101,,,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,5508.00,99.00,-110.00,0.84,0.11,-0.03,0.95,0.04,-0.07,0.070,0.150,-0.150,[Fe/H],,,,4.57,0.01,-0.11,,,,4.6891,27.9971,-3.8193,,,,,,,,,,407.2160000,2.7520000,-2.7160000,14.4680000,0.0480000,-0.0480000,13.5660000,0.1030000,-0.1030000
Kepler-1871 b,Kepler-1871,1,1,1,Transit,2021,Kepler,1.95270002,,,,,,2.422,,,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,5741.00,154.00,-188.00,0.95,0.28,-0.09,1.02,0.11,-0.12,0.120,0.250,-0.300,[Fe/H],,,,4.50,0.05,-0.21,,,,1.1394,46.1160,-1.6690,,,,,,,,,,854.6230000,16.7485000,-16.7485000,15.1680000,0.0670000,-0.0670000,14.8220000,0.1140000,-0.1140000
Kepler-1872 b,Kepler-1872,1,1,1,Transit,2021,Kepler,3.82591009,,,,,,2.384,,,0.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,5223.00,183.00,-183.00,0.89,0.15,-0.08,0.91,0.06,-0.08,0.320,0.100,-0.300,[Fe/H],,,,4.50,0.05,-0.12,,,,0.3909,10.7200,-0.3366,,,,,,,,,,840.1820000,22.3530000,-21.2440000,17.2470000,0.0680000,-0.0680000,15.9660000,1.1330000,-1.1330000
Kepler-1873 b,Kepler-1873,1,1,1,Transit,2021,Kepler,0.55884200,,,,,,1.626,,,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,5151.00,154.00,-138.00,0.79,0.11,-0.05,0.90,0.05,-0.09,0.210,0.200,-0.300,[Fe/H],,,,4.59,0.02,-0.10,,,,8.8044,4.4963,-2.7767,,,,,,,,,,820.9570000,26.2335000,-26.2335000,16.3240000,0.0670000,-0.0670000,15.8890000,0.0580000,-0.0580000
Kepler-1874 b,Kepler-1874,1,1,1,Transit,2021,Kepler,56.57320023,,,,,,2.211,,,0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,4701.00,74.00,-84.00,0.78,0.02,-0.04,0.76,0.04,-0.03,0.240,0.150,-0.150,[Fe/H],,,,4.54,0.05,-0.02,,,,0.4850,10.1425,-0.2363,,,,,,,,,,408.0070000,,,16.4360000,0.0340000,-0.0340000,15.4340000,0.2170000,-0.2170000
Kepler-1875 b,Kepler-1875,1,1,1,Transit,2021,Kepler,34.45859909,,,,,,3.227,,,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,6161.00,166.00,-203.00,0.86,0.24,-0.08,0.95,0.10,-0.12,-0.500,0.300,-0.300,[Fe/H],,,,4.54,0.05,-0.20,,,,0.3698,0.3291,-0.2703,,,,,,,,,,1660.4500000,140.9300000,-120.8600000,15.5590000,0.1320000,-0.1320000,15.2010000,0.1150000,-0.1150000
Kepler-1876 b,Kepler-1876,1,1,1,Transit,2021,Kepler,6.99205000,0.00003800,-0.00003800,0.075800,0.001900,-0.001900,0.853,0.039,-0.026,0.076,0.003,-0.002,2.40000,,,0.00755,,,19.00000,,,0.098000,,,475.00,34.00,-34.00,1299,22,-22,,,,,,,,6104.00,57.00,-57.00,1.48,0.02,-0.02,1.19,0.07,-0.09,0.010,0.060,-0.060,[Fe/H],,,,,,,4.400,2.100,-1.400,,,,,,,,,,,,,259.9350000,1.7970000,-1.7730000,11.4440000,0.1090000,-0.1090000,10.7930000,0.0070000,-0.0070000
Kepler-1877 b,Kepler-1877,1,1,1,Transit,2021,Kepler,2.37756991,,,,,,0.624,,,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,5615.00,101.00,-123.00,0.94,0.13,-0.05,1.02,0.04,-0.07,0.240,0.150,-0.150,[Fe/H],,,,4.50,0.03,-0.12,,,,1.5143,0.1409,-0.6975,,,,,,,,,,285.3120000,1.8650000,-1.8410000,13.2160000,0.0060000,-0.0060000,12.2900000,0.0460000,-0.0460000
Kepler-1878 b,Kepler-1878,1,1,1,Transit,2021,Kepler,4.44587994,,,,,,2.920,,,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,5918.00,187.00,-208.00,0.86,0.26,-0.09,0.96,0.12,-0.12,-0.260,0.300,-0.300,[Fe/H],,,,4.54,0.04,-0.20,,,,1.1311,1.7964,-0.9172,,,,,,,,,,1494.3000000,57.8000000,-53.7100000,16.9260000,0.0690000,-0.0690000,15.5870000,0.0690000,-0.0690000
Kepler-1879 b,Kepler-1879,1,1,1,Transit,2021,Kepler,10.61340046,,,,,,2.065,,,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,5865.00,117.00,-105.00,1.39,0.23,-0.28,1.02,0.10,-0.08,0.000,0.150,-0.150,[Fe/H],,,,4.16,0.18,-0.10,,,,59.7123,48.3185,-13.4561,,,,,,,,,,627.1710000,8.9880000,-8.7410000,13.4930000,0.0220000,-0.0220000,12.8250000,0.0920000,-0.0920000
Kepler-188 b,Kepler-188,1,1,2,Transit,2014,Kepler,2.06189700,0.00001000,-0.00001000,0.032000,,,1.680,0.760,-0.760,0.150,0.068,-0.068,,,,,,,,,,,,,,,,,,,,,,,,,,6021.00,200.00,-200.00,1.14,0.51,-0.51,,,,,,,,,,,4.35,0.30,-0.30,,,,,,,,,,,,,,,,968.5440000,22.3800000,-21.4090000,15.5990000,0.0290000,-0.0290000,14.7190000,0.0800000,-0.0800000
Kepler-188 c,Kepler-188,1,1,2,Transit,2014,Kepler,5.99655300,0.00001500,-0.00001500,0.066000,,,3.190,1.450,-1.450,0.285,0.129,-0.129,,,,,,,,,,,,,,,,,,,,,,,,,,6021.00,200.00,-200.00,1.14,0.51,-0.51,,,,,,,,,,,4.35,0.30,-0.30,,,,,,,,,,,,,,,,968.5440000,22.3800000,-21.4090000,15.5990000,0.0290000,-0.0290000,14.7190000,0.0800000,-0.0800000
Kepler-1880 b,Kepler-1880,1,1,1,Transit,2021,Kepler,6.30921984,,,,,,2.117,,,0.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,4380.00,130.00,-143.00,0.53,0.04,-0.04,0.52,0.04,-0.03,-0.920,0.300,-0.300,[Fe/H],,,,4.71,0.06,-0.03,,,,24.0495,4.2638,-9.6037,,,,,,,,,,611.0410000,12.2030000,-11.7430000,17.4080000,0.0680000,-0.0680000,16.0880000,0.1720000,-0.1720000
Kepler-1881 b,Kepler-1881,1,1,1,Transit,2021,Kepler,159.39399720,,,,,,2.981,,,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,5135.00,84.00,-77.00,0.87,0.04,-0.08,0.81,0.06,-0.03,0.120,0.150,-0.150,[Fe/H],,,,4.46,0.09,-0.04,,,,2.3989,0.0584,-1.0388,,,,,,,,,,1057.2100000,40.8250000,-40.8250000,16.8920000,0.1570000,-0.1570000,15.8980000,0.2290000,-0.2290000
Kepler-1882 b,Kepler-1882,1,1,1,Transit,2021,Kepler,13.78730011,,,,,,1.487,,,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,5691.00,77.00,-77.00,1.46,0.27,-0.38,1.07,0.09,-0.08,0.260,0.150,-0.150,[Fe/H],,,,4.14,0.23,-0.12,,,,0.0446,0.5558,-0.0152,,,,,,,,,,443.3710000,4.2730000,-4.1940000,13.2420000,0.0310000,-0.0310000,12.5160000,0.0690000,-0.0690000
Kepler-1883 b,Kepler-1883,1,1,1,Transit,2021,Kepler,103.42700200,,,,,,3.251,,,0.290,,,,,,,,,,,,,,,,,,,,,,,,,,,,6208.00,194.00,-259.00,1.02,0.31,-0.13,1.09,0.14,-0.15,-0.120,0.250,-0.350,[Fe/H],,,,4.45,0.05,-0.20,,,,7.4497,0.4994,-3.1803,,,,,,,,,,1377.6100000,70.8100000,-64.3200000,16.5130000,0.0450000,-0.0450000,15.6420000,0.1380000,-0.1380000
Kepler-1884 b,Kepler-1884,1,1,1,Transit,2021,Kepler,8.98832035,,,,,,1.814,,,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,5984.00,188.00,-188.00,0.91,0.28,-0.09,0.99,0.13,-0.13,-0.200,0.300,-0.300,[Fe/H],,,,4.52,0.04,-0.22,,,,0.0500,0.6504,-0.0321,,,,,,,,,,1443.0900000,54.0400000,-50.3400000,16.0300000,0.1010000,-0.1010000,15.4330000,0.1950000,-0.1950000
Kepler-1885 b,Kepler-1885,1,1,1,Transit,2021,Kepler,2.52255988,,,,,,1.511,,,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,5591.00,150.00,-166.00,0.86,0.22,-0.07,0.98,0.09,-0.11,0.070,0.250,-0.300,[Fe/H],,,,4.56,0.03,-0.19,,,,0.0693,419.2180,-0.1208,,,,,,,,,,818.4820000,14.9450000,-14.4290000,15.7960000,0.1360000,-0.1360000,14.8510000,0.0690000,-0.0690000
Kepler-1886 b,Kepler-1886,1,1,1,Transit,2021,Kepler,24.27580070,,,,,,2.582,,,0.230,,,,,,,,,,,,,,,,,,,,,,,,,,,,5745.00,181.00,-201.00,0.84,0.21,-0.07,0.93,0.10,-0.11,-0.200,0.300,-0.300,[Fe/H],,,,4.56,0.04,-0.17,,,,1.6769,0.8017,-0.3740,,,,,,,,,,1059.5100000,39.7200000,-37.0000000,15.1110000,0.0660000,-0.0660000,15.6270000,0.2630000,-0.2630000
Kepler-1887 b,Kepler-1887,1,1,1,Transit,2021,Kepler,19.94750023,,,,,,2.925,,,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,5749.00,153.00,-170.00,0.86,0.19,-0.07,0.96,0.09,-0.13,-0.100,0.250,-0.300,[Fe/H],,,,4.55,0.04,-0.16,,,,33.2308,7.3592,-14.8790,,,,,,,,,,1366.1800000,78.1500000,-70.2800000,17.1750000,0.0190000,-0.0190000,15.9550000,0.0810000,-0.0810000
Kepler-1888 b,Kepler-1888,1,1,1,Transit,2021,Kepler,11.39169979,,,,,,1.326,,,0.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,5557.00,122.00,-78.00,1.25,0.21,-0.28,0.90,0.07,-0.04,0.000,0.150,-0.150,[Fe/H],,,,4.20,0.21,-0.11,,,,0.1247,0.6082,-0.0950,,,,,,,,,,402.9470000,4.5850000,-4.4850000,13.0480000,0.4360000,-0.4360000,12.0990000,0.0350000,-0.0350000
Kepler-1889 b,Kepler-1889,1,1,1,Transit,2021,Kepler,37.30369949,,,,,,2.944,,,0.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,5646.00,186.00,-186.00,0.82,0.20,-0.09,0.86,0.10,-0.09,-0.280,0.300,-0.300,[Fe/H],,,,4.55,0.05,-0.16,,,,0.0730,0.7637,-0.0279,,,,,,,,,,1395.1300000,69.2400000,-63.0800000,17.0390000,0.0720000,-0.0720000,15.7150000,0.2170000,-0.2170000
Kepler-189 b,Kepler-189,1,1,2,Transit,2014,Kepler,10.39993100,0.00008500,-0.00008500,0.088000,,,1.210,0.610,-0.610,0.108,0.054,-0.054,,,,,,,,,,,,,,,,,,,,,,,,,,5235.00,200.00,-200.00,0.75,0.38,-0.38,,,,,,,,,,,4.62,0.30,-0.30,,,,,,,,,,,,,,,,591.5340000,7.1340000,-6.9690000,16.1130000,0.0140000,-0.0140000,14.9710000,0.1830000,-0.1830000
Kepler-189 c,Kepler-189,1,1,2,Transit,2014,Kepler,20.13486600,0.00005700,-0.00005700,0.137000,,,2.380,1.190,-1.190,0.212,0.106,-0.106,,,,,,,,,,,,,,,,,,,,,,,,,,5235.00,200.00,-200.00,0.75,0.38,-0.38,,,,,,,,,,,4.62,0.30,-0.30,,,,,,,,,,,,,,,,591.5340000,7.1340000,-6.9690000,16.1130000,0.0140000,-0.0140000,14.9710000,0.1830000,-0.1830000
Kepler-1890 b,Kepler-1890,1,1,1,Transit,2021,Kepler,4.82059002,,,,,,0.869,,,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,6046.00,121.00,-133.00,1.40,0.24,-0.29,1.02,0.10,-0.07,-0.160,0.200,-0.150,[Fe/H],,,,4.16,0.17,-0.10,,,,0.0635,0.8712,-0.0368,,,,,,,,,,529.5960000,6.7540000,-6.5880000,13.4240000,0.0350000,-0.0350000,12.9160000,0.0800000,-0.0800000
Kepler-1891 b,Kepler-1891,1,1,1,Transit,2021,Kepler,4.02229023,,,,,,1.521,,,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,5516.00,149.00,-149.00,0.83,0.19,-0.08,0.87,0.09,-0.09,-0.140,0.300,-0.300,[Fe/H],,,,4.54,0.05,-0.14,,,,18.2700,44.7985,-17.3714,,,,,,,,,,596.2400000,6.0705000,-6.0705000,15.4290000,0.0340000,-0.0340000,14.4120000,0.1490000,-0.1490000
Kepler-1892 b,Kepler-1892,1,1,1,Transit,2021,Kepler,6.33123016,,,,,,1.837,,,0.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,5383.00,159.00,-159.00,0.76,0.13,-0.06,0.85,0.08,-0.10,-0.220,0.300,-0.300,[Fe/H],,,,4.60,0.04,-0.11,,,,2.8491,0.3755,-1.2640,,,,,,,,,,851.5950000,25.7040000,-24.2650000,17.0660000,0.0690000,-0.0690000,15.5920000,0.1030000,-0.1030000
Kepler-1893 b,Kepler-1893,1,1,1,Transit,2021,Kepler,4.17936993,,,,,,1.706,,,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,5633.00,76.00,-76.00,1.16,0.18,-0.18,0.97,0.07,-0.06,0.160,0.150,-0.150,[Fe/H],,,,4.30,0.15,-0.11,,,,1.6946,0.8681,-0.4535,,,,,,,,,,1050.7200000,27.4100000,-26.0700000,16.1930000,0.1420000,-0.1420000,15.1520000,0.1140000,-0.1140000
Kepler-1894 b,Kepler-1894,1,1,2,Transit,2021,Kepler,2.76266003,,,,,,1.201,,,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,5772.00,156.00,-173.00,0.90,0.28,-0.09,1.00,0.11,-0.12,0.000,0.250,-0.300,[Fe/H],,,,4.53,0.04,-0.21,,,,2.8523,1.9131,-0.6985,,,,,,,,,,935.1910000,24.7450000,-23.5230000,14.6670000,0.0460000,-0.0460000,15.4520000,0.0920000,-0.0920000
Kepler-1894 c,Kepler-1894,1,1,2,Transit,2023,Kepler,5.05368985,0.00005076,-0.00005076,0.057600,,,1.210,0.370,-0.110,,,,,,,,,,,,,0.000000,,,243.06,217.63,-66.98,1007,,,13.270000,5.200000,-5.200000,0.01231,0.00059,-0.00088,,5772.00,156.00,-173.00,0.90,0.28,-0.09,1.00,0.11,-0.12,0.000,0.250,-0.300,[Fe/H],,,,4.53,0.04,-0.21,,,,1.7297,2.0266,-0.3328,,,,,,,,,,935.1910000,24.7450000,-23.5230000,14.6670000,0.0460000,-0.0460000,15.4520000,0.0920000,-0.0920000
Kepler-1895 b,Kepler-1895,1,1,1,Transit,2021,Kepler,6.07029009,,,,,,2.119,,,0.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,5076.00,166.00,-151.00,0.76,0.10,-0.05,0.86,0.05,-0.09,0.100,0.250,-0.300,[Fe/H],,,,4.60,0.02,-0.09,,,,15.9633,12.5998,-7.8313,,,,,,,,,,984.1870000,29.8530000,-28.1730000,16.8410000,0.0780000,-0.0780000,15.7870000,0.1950000,-0.1950000
Kepler-1896 b,Kepler-1896,1,1,1,Transit,2021,Kepler,44.87020111,,,,,,3.099,,,0.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,6122.00,192.00,-235.00,1.00,0.31,-0.10,1.07,0.14,-0.15,-0.100,0.300,-0.300,[Fe/H],,,,4.47,0.05,-0.21,,,,4.0619,2.4970,-0.5260,,,,,,,,,,1732.9100000,100.0300000,-89.8700000,16.5480000,0.0390000,-0.0390000,15.8440000,0.0920000,-0.0920000
Kepler-1897 b,Kepler-1897,1,1,1,Transit,2021,Kepler,24.22030067,,,,,,2.814,,,0.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,5165.00,170.00,-154.00,0.76,0.12,-0.06,0.86,0.06,-0.09,0.020,0.250,-0.300,[Fe/H],,,,4.60,0.03,-0.10,,,,6.2847,0.3260,-3.4529,,,,,,,,,,983.1740000,37.2760000,-34.6890000,16.1450000,0.0700000,-0.0700000,16.0100000,0.0920000,-0.0920000
Kepler-1898 b,Kepler-1898,1,1,1,Transit,2021,Kepler,4.76562023,,,,,,0.934,,,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,5702.00,189.00,-172.00,1.12,0.35,-0.28,0.84,0.13,-0.07,-0.280,0.300,-0.300,[Fe/H],,,,4.26,0.25,-0.21,,,,3.7563,0.3168,-1.9731,,,,,,,,,,360.9210000,1.8970000,-1.8780000,14.2130000,0.0120000,-0.0120000,13.3870000,0.0920000,-0.0920000
Kepler-1899 b,Kepler-1899,1,1,1,Transit,2021,Kepler,4.09577990,,,,,,1.551,,,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,4791.00,143.00,-129.00,0.74,0.05,-0.06,0.76,0.06,-0.06,0.070,0.250,-0.300,[Fe/H],,,,4.58,0.04,-0.04,,,,2.2993,5.3335,-2.0427,,,,,,,,,,711.5090000,18.4820000,-18.4820000,17.3900000,0.0670000,-0.0670000,16.1360000,0.1830000,-0.1830000
Kepler-19 b,Kepler-19,1,1,3,Transit,2011,Kepler,9.28699000,0.00000000,0.00000000,0.084600,0.001200,-0.001200,2.209,0.048,-0.048,0.197,0.004,-0.004,6.10000,2.80000,-2.70000,0.01919,0.00881,-0.00850,3.10000,1.40000,-1.40000,0.410000,,,87.60,6.00,-6.00,851,14,-14,,,,,,,,5541.00,60.00,-60.00,0.86,0.02,-0.02,0.94,0.04,-0.04,-0.130,0.060,-0.060,[Fe/H],,,,,,,1.900,1.700,-1.700,,,,,,,,,,,,,218.5620000,0.9750000,-0.9660000,12.8780000,0.3460000,-0.3460000,12.0350000,0.0260000,-0.0260000
